date,text,place,latitude,longitude
1700-01-26,"At approximately 9 p.m., the Cascadia earthquake occurs in the Pacific Northwest , with an estimated moment magnitude of 8.7–9.2. This megathrust earthquake ruptures about 1,000 kilometers (620 miles) of the Cascadia Subduction Zone and causes a tsunami , that strikes the coast of Japan approximately 10 hours later.",Pacific Northwest,,
1700-02-03,"The 'Lesser Great Fire' destroys a substantial part of central Edinburgh , Scotland.",,,
1700-02-12,"The Great Northern War begins with a joint invasion of Swedish territory in Germany and Latvia , by Denmark and Poland / Saxony . Sweden has control of the Baltic Sea and holds territory that includes Finland, Estonia , Latvia and parts of northern Germany. To challenge its power, an alliance is formed between Tsar Peter I of Russia , King Frederick IV of Denmark and Augustus II the Strong , King of Poland and Elector of Saxony. Sweden's ruler is the militaristic Charles XII , known as the ""Swedish Meteor"".",Germany and Latvia,,
1700-04-21,"In India , the siege of the fortress of Sajjangad (located in the Maharashtra state) is begun by an army led by Fateullahakhan. The fortress falls on June 6.",Maharashtra,,
1700-09-13,14 – Rising-sun hurricane of 1700 strikes the coast of South Carolina killing 98.,,,
1700-10-03,"The Battle of Jouami' al-Ulama takes place in Algeria with a surprise attack and ambush on the army of Murad III Bey of Tunis by two Algerian defenders, Hadj Mustapha, Dey of Algiers and Ahmed ben Ferhat, Beylik of Constantine .",Algeria with a surprise attack and ambush on the army of Murad III Bey of Tunis by two Algerian defenders,,
1700-11-15,"Louis XIV of France accepts the Spanish crown on behalf of his grandson Philip of Anjou of the House of Bourbon , who becomes Philip V of Spain (reigning for 44 years – with a short break – to 1746 ), thus triggering the War of the Spanish Succession ( 1701 – 1714 ).",House of Bourbon,,
1700-11-18,Lithuanian Civil War : Battle of Valkininkai – The anti- Sapieha coalition is victorious.,Valkininkai,,
1701-01-28,Battle of Dartsedo : The Chinese storm the Tibetan border town of Dartsedo.,Dartsedo,,
1701-07-09,"The Battle of Carpi , the first skirmish in the War of the Spanish Succession , takes place in Italy when French troops under the command of Nicolas Catinat are attacked by Austrian forces led by Prince Eugene of Savoy .",War of the Spanish Succession,,
1701-07-19,"Crossing of the Düna : Following his victories over Denmark-Norway and Russia in 1700 , Charles XII of Sweden escalates the conflict in the Great Northern War by an invasion of Poland. The Swedish defeat the army of Saxony (then in personal union with Poland) at the River Dvina .",Great Northern War by an invasion of Poland,,
1701-08-04,"The Great Peace of Montreal is signed, ending 100 years of war between the Iroquois Confederacy and New France , and its Huron and Algonquian allies. Formerly allied with the English, the treaty assures the Iroquois will be neutral, if France and England ever resume hostilities.",Montreal is signed,,
1701-09-16,"Deposed King James II of England (James VII of Scotland) dies in exile, at the Château de Saint-Germain-en-Laye in France. His supporters, the Jacobites , turn to his son James Francis Edward Stuart (later called ""The Old Pretender""), whom they recognise as James VIII and III. Louis XIV of France , the Papal States and Spain also recognise him as the rightful heir.",England,,
1702-02-01,"The Duc de Villeroy , commander of the French Army, is taken as a prisoner of war by the Austrian Army during the Battle of Cremona ( War of the Spanish Succession ).",French Army,,
1702-03-14,"An earthquake in the middle of the Calore valley in Italy, east of Benevento , kills 400 people.",Calore valley in Italy,,
1702-03-24,"Great Northern War : Battle of Darsūniškis – The Swedish army of about 240 men under the command of Alexander Hummerhielm is defeated by the Polish–Saxon army of 6,000 men under Michał Serwacy Wiśniowiecki .",,,
1702-04-14,Volcanic eruption of Changbaishan volcano (also known as Paektu Mountain ) on the China/Korea border takes place.,Changbaishan volcano,,
1702-05-16,"Much of the city of Uppsala , Sweden is destroyed in a fire.",,,
1702-05-19,"Over 90% of the city of Bergen , Norway is destroyed and reduced to ashes in a Great Fire.",,,
1702-06-02,"English General John Churchill , later the Duke of Marlborough, takes command of the alliance of English, Dutch and German troops in the War of the Spanish Succession .",War of the Spanish Succession,,
1702-06-15,"Queen Anne's Captain-General, John Churchill, forces the surrender of Kaiserswerth on the Rhine after a siege that began on April 18.",Kaiserswerth on the Rhine after a siege that began on April 18,,
1702-08-11,"Great Northern War : Częstochowa , Poland, is captured by the Swedish army.",,,
1702-08-15,War of the Spanish Succession : Battle of Luzzara – Forces of the Holy Roman Empire fail to break through the French-Savoyard position in Lombardy.,Lombardy,,
1702-09-12,The Siege of Landau (War of the Spanish Succession) ends after 3 months with forces of the Holy Roman Empire capturing the fortress town in the Rhineland-Palatinate from a French garrison.,Rhineland-Palatinate from a French garrison,,
1702-09-30,War of the Spanish Succession : Battle of Cádiz – A month-long Anglo-Dutch amphibious operation under English Admiral Sir George Rooke fails to take the Spanish port.,Spanish Succession,,
