date,text
1700-01-01,"Protestant nations in Western Europe , except England , start using the Gregorian calendar . Catholic nations have been using the Gregorian calendar since its introduction in 1582 by Pope Gregory XIII ."
1700-01-26,"At approximately 9 p.m., the Cascadia earthquake occurs in the Pacific Northwest , with an estimated moment magnitude of 8.7–9.2. This megathrust earthquake ruptures about 1,000 kilometers (620 miles) of the Cascadia Subduction Zone and causes a tsunami , that strikes the coast of Japan approximately 10 hours later."
1700-02-03,"The 'Lesser Great Fire' destroys a substantial part of central Edinburgh , Scotland."
1700-02-12,"The Great Northern War begins with a joint invasion of Swedish territory in Germany and Latvia , by Denmark and Poland / Saxony . Sweden has control of the Baltic Sea and holds territory that includes Finland, Estonia , Latvia and parts of northern Germany. To challenge its power, an alliance is formed between Tsar Peter I of Russia , King Frederick IV of Denmark and Augustus II the Strong , King of Poland and Elector of Saxony. Sweden's ruler is the militaristic Charles XII , known as the ""Swedish Meteor""."
1700-02-27,"The island of New Britain is discovered by William Dampier , in the western Pacific."
1700-03-03,Shivaji II accedes to the throne of the Maratha Empire as the 4th Chhatrapati after his father Rajaram I 's death.
1700-03-24,"The Treaty of London is signed between France , England and the Dutch Republic ."
1700-04-15,The coronation of King Frederick IV of Denmark takes place at Frederiksborg Castle in Copenhagen .
1700-04-18,"Hungarian freedom activist Ferenc Rákóczi is arrested by Austrian authorities and charged with sedition. Imprisoned near Vienna and facing a death sentence, he escapes and later leads the overthrow of the Habsburg control of Hungary."
1700-04-21,"In India , the siege of the fortress of Sajjangad (located in the Maharashtra state) is begun by an army led by Fateullahakhan. The fortress falls on June 6."
1700-05-05,"Within a few days of poet John Dryden 's death in London ( May 1 O.S.), his last written work ( The Secular Masque ) is performed as part of Vanbrugh 's version of The Pilgrim ."
1700-07-11,"The Prussian Academy of Sciences is founded, with Gottfried Leibniz as president."
1700-07-24,"Charles XII of Sweden counter-attacks his enemies by invading Zealand (Denmark), assisted by an Anglo-Dutch naval squadron under Sir George Rooke , rapidly compelling the Danes to submit to peace."
1700-07-30,"Eleven-year-old Prince William, Duke of Gloucester , dies of ""a malignant fever"" at Windsor Castle , leaving the Protestant succession to the British throne in doubt."
1700-09-06,"Edmond Halley returns to England after a voyage of almost one year on HMS Paramour , from which he has observed the Antarctic Convergence , and publishes his findings on terrestrial magnetism in General Chart of the Variation of the Compass ."
1700-09-12,Antioh Cantemir is deposed as the voivode of Moldavia and replaced by his predecessor Constantine Ducas .
1700-09-13,14 – Rising-sun hurricane of 1700 strikes the coast of South Carolina killing 98.
1700-09-27,"Pope Innocent XII dies at the age of 85 after a tenure of more than nine years. Fabrizio Spada , the Cardinal Secretary of State , assumes administration of the Roman Catholic Church in order to oversee the election of a new Pope."
1700-10-03,"The Battle of Jouami' al-Ulama takes place in Algeria with a surprise attack and ambush on the army of Murad III Bey of Tunis by two Algerian defenders, Hadj Mustapha, Dey of Algiers and Ahmed ben Ferhat, Beylik of Constantine ."
1700-10-16,"Adrian, Patriarch of All Russia , dies after more than 10 years as head of the Russian Orthodox Church. He is replaced by the hand-picked choice of Tsar Peter the Great with the appointment of Simeon Ivanovich Yavorsky as Patriarch Stefan ."
1700-11-01,"Charles II , the last Spanish king of the House of Habsburg , dies at the Royal Alcazar of Madrid aged 38, leaving no children; his last will makes Philip of Anjou his heir."
1700-11-15,"Louis XIV of France accepts the Spanish crown on behalf of his grandson Philip of Anjou of the House of Bourbon , who becomes Philip V of Spain (reigning for 44 years – with a short break – to 1746 ), thus triggering the War of the Spanish Succession ( 1701 – 1714 )."
1700-11-18,Lithuanian Civil War : Battle of Valkininkai – The anti- Sapieha coalition is victorious.
1700-11-23,"Cardinal Giovanni Francesco Albani, having been ordained as a Roman Catholic priest only two months earlier, is elected by the Papal conclave to succeed Pope Innocent XII , and becomes the 243rd pope , taking the name of Clement XI ."
1700-12-08,The formal coronation of Pope Clement XI takes place in Rome.
1700-12-28,"Laurence Hyde, 1st Earl of Rochester , Lord President of the Council in charge of the Privy Council, is appointed to the additional job of Lord Lieutenant of Ireland , the highest Crown official in charge of administration of Ireland, ."
1701-01-18,"The electorate of Brandenburg-Prussia becomes the Kingdom of Prussia , as Elector Frederick III is proclaimed King Frederick I . Prussia remains part of the Holy Roman Empire . It consists of Brandenburg , Pomerania and East Prussia . Berlin is the capital."
1701-01-28,Battle of Dartsedo : The Chinese storm the Tibetan border town of Dartsedo.
1701-06-09,"Safavid troops retreat from Basra , ending a three year occupation ."
1701-04-21,"In Japan, the young daimyō Asano Naganori is ordered to commit seppuku (ritual suicide). A group of 47 samurai of his service begin planning to avenge his death."
1701-05-23,"Scottish-born Captain William Kidd , having been imprisoned in Boston Gaol (Massachusetts) and Newgate Prison (London) and convicted by the High Court of Admiralty of piracy and the murder of one of his crew, is hanged at Execution Dock in Wapping (London). His body suffers gibbeting over the River Thames at Tilbury Point; ballads are already spreading the legend that he has left buried treasure in the Americas."
1701-06-24,"The Act of Settlement 1701 is passed by the Parliament of England , to exclude the Catholic Stuarts from the British monarchy. Under its terms, King William III , childless, will be succeeded by Queen Mary II 's sister Princess Anne and her descendants. If Anne should have no descendants, she will be succeeded by Sophia of Hanover and her descendants (hence the Hanoverian Succession in 1714 )."
1701-07-09,"The Battle of Carpi , the first skirmish in the War of the Spanish Succession , takes place in Italy when French troops under the command of Nicolas Catinat are attacked by Austrian forces led by Prince Eugene of Savoy ."
1701-07-19,"Crossing of the Düna : Following his victories over Denmark-Norway and Russia in 1700 , Charles XII of Sweden escalates the conflict in the Great Northern War by an invasion of Poland. The Swedish defeat the army of Saxony (then in personal union with Poland) at the River Dvina ."
1701-07-24,"A French emporium named Fort Ponchartrain is founded along the west side of the Detroit River in North America, and later becomes the site of the city of Detroit ."
1701-08-04,"The Great Peace of Montreal is signed, ending 100 years of war between the Iroquois Confederacy and New France , and its Huron and Algonquian allies. Formerly allied with the English, the treaty assures the Iroquois will be neutral, if France and England ever resume hostilities."
1701-09-16,"Deposed King James II of England (James VII of Scotland) dies in exile, at the Château de Saint-Germain-en-Laye in France. His supporters, the Jacobites , turn to his son James Francis Edward Stuart (later called ""The Old Pretender""), whom they recognise as James VIII and III. Louis XIV of France , the Papal States and Spain also recognise him as the rightful heir."
1701-10-09,"The Collegiate School of Connecticut (later renamed Yale University ) is chartered in Old Saybrook, Connecticut ."
1701-11-02,"King Philip V of Spain marries for the first time, to 13-year-old Maria Luisa Gabriella of Savoy , who serves as Queen Consort until her death from tuberculosis at the age of 25."
1702-01-02,A total solar eclipse is visible from the southern Pacific Ocean .
1702-01-12,"In North America, ships from Fort Maurepas arrive at Twenty-Seven Mile Bluff to build Fort Louis de la Mobile (future Mobile, Alabama ), to become the capital of French Louisiana ."
1702-02-01,"The Duc de Villeroy , commander of the French Army, is taken as a prisoner of war by the Austrian Army during the Battle of Cremona ( War of the Spanish Succession )."
1702-03-14,"An earthquake in the middle of the Calore valley in Italy, east of Benevento , kills 400 people."
1702-03-24,"Great Northern War : Battle of Darsūniškis – The Swedish army of about 240 men under the command of Alexander Hummerhielm is defeated by the Polish–Saxon army of 6,000 men under Michał Serwacy Wiśniowiecki ."
1702-04-03,"The Dutch East India Company ship Merestein strikes rocks and sinks in Saldanha Bay off Jutten Island, Africa with the loss of 101 of the 200 people on board."
1702-04-14,Volcanic eruption of Changbaishan volcano (also known as Paektu Mountain ) on the China/Korea border takes place.
1702-04-15,"The British Province of New Jersey , encompassing all of the modern-day U.S. state of New Jersey and portions of New York , is created as proprietary owners in the provinces of East Jersey and West Jersey surrender their rights to the Crown."
1702-04-20,Comet C/1702 H1 is discovered and passes within 0.0435 AU (a little more than four million miles or 6.5 million km) of the Earth.
1702-04-24,The first two missionaries from the Society for the Propagation of the Gospel in Foreign Parts set sail from England to North America.
1702-05-05,"Globular cluster Messier 5 (M5, NGC 5904) is discovered by Gottfried Kirch and his wife Maria Margarethe."
1702-05-06,Cloudesley Shovell is promoted to full admiral in the English navy.
1702-05-16,"Much of the city of Uppsala , Sweden is destroyed in a fire."
1702-05-19,"Over 90% of the city of Bergen , Norway is destroyed and reduced to ashes in a Great Fire."
1702-06-02,"English General John Churchill , later the Duke of Marlborough, takes command of the alliance of English, Dutch and German troops in the War of the Spanish Succession ."
1702-06-11,Anglo-Dutch forces skirmish with French forces before the walls of Nijmegen and prevent its fall.
1702-06-15,"Queen Anne's Captain-General, John Churchill, forces the surrender of Kaiserswerth on the Rhine after a siege that began on April 18."
1702-06-16,The English East India Company founds a settlement on Pulo Condore (modern-day Côn Sơn Island) off the coast of southern Vietnam as an entrepôt for ships travelling between India and China.
1702-06-25,The premiere of the opera L'Offendere per amore overo la Telesilla by Johann Joseph Fux takes place in Vienna .
1702-07-23,"The first performance of the opera Médus, roi des Mèdes by François Bouvard takes place at the Paris Opera ."
1702-08-11,"Great Northern War : Częstochowa , Poland, is captured by the Swedish army."
1702-08-15,War of the Spanish Succession : Battle of Luzzara – Forces of the Holy Roman Empire fail to break through the French-Savoyard position in Lombardy.
1702-09-12,The Siege of Landau (War of the Spanish Succession) ends after 3 months with forces of the Holy Roman Empire capturing the fortress town in the Rhineland-Palatinate from a French garrison.
1702-09-19,Jupiter occults Neptune .
1702-09-25,General John Churchill forces the surrender of Venlo on the Meuse River .
1702-09-30,War of the Spanish Succession : Battle of Cádiz – A month-long Anglo-Dutch amphibious operation under English Admiral Sir George Rooke fails to take the Spanish port.
1702-10-01,"The founding deed of the University of Wrocław is signed by the Holy Roman Emperor Leopold I of the House of Austria, King of Hungary and Bohemia."
1702-10-07,"Great Northern War: Russian troops besiege the Swedish fortress of Nöteborg , and capture it after 15 days."
1702-10-14,War of the Spanish Succession: Battle of Friedlingen – France defeats forces of the Holy Roman Empire .
1702-10-18,"Queen Anne's War: Battle of Flint River – Spanish and Apalachee Indian forces fail in their attack against Creek Indians, supported by English traders, in the modern-day U.S. state of Georgia ."
1702-10-19,The opera Der Sieg der fruchtbaren Pomona by Reinhard Keiser is premiered at the Hamburg Opera for the birthday of King Frederick IV of Denmark .
1702-10-23,War of the Spanish Succession: Battle of Vigo Bay – Anglo-Dutch naval forces under English Admiral Sir George Rooke capture the defended Spanish port of Cádiz and take or destroy all the Spanish treasure fleet and escorting French warships there. Churchill forces the surrender of Liège .
1702-10-27,"Queen Anne's War in North America: English troops plunder St. Augustine , Spanish Florida ."
1702-10-28,"Sieur Juchereau, Lieutenant General of Montréal , establishes the first trading post on the Wabash River in order to trade buffalo hides with American Indians . The site of the trading post may be the modern-day location of Vincennes, Indiana ."
1702-11-07,The first performance of the opera Tancrède by André Campra takes place at the Théâtre du Palais-Royal in Paris.
1702-11-10,"Queen Anne's War in North America: The Siege of St. Augustine opens as English forces besiege St. Augustine , Spanish Florida ."
