date,event
1500-01-05,"Duke Ludovico Sforza recaptures Milan, but is soon driven out again by the French."
1500-01-26,Spanish navigator Vicente Yáñez Pinzón reaches the northern coast of Brazil.
1500-02-05,Ludovico Sforza 's Swiss mercenary army retakes the city of Milan from the French during the Second Italian War.
1500-02-17,Battle of Hemmingstedt: The Danish army fails to conquer the peasants' republic of Dithmarschen.
1500-03-09,"Pedro Álvares Cabral, with a fleet of 13 ships, departs Portugal on a voyage to the New World."
1500-03-11,The Parliament of Bohemia adopts a new constitution that limits the power of King Vladislav II and subsequent Bohemian monarchs.
1500-03-24,"The day after departing the Cape Verde Islands with the rest of Cabral's fleet, Vasco de Ataíde and his 150 crewmates die when their ship goes down in a storm."
1500-04-22,"Portuguese navigator Pedro Álvares Cabral and his crew on 13 vessels arrive in Brazil, anchoring at Monte Pascoal and naming the country Vera Cruz. Cabral claims the land for the Kingdom of Portugal."
1500-05-01,Pero Vaz de Caminha finishes writing his chronicle of the Portuguese discovery of Brazil while accompanying Cabral.
1500-05-03,"Cabral and his fleet depart from Brazil and sail eastward toward Africa, resuming their journey to India."
1500-05-05,"Representatives of the English and Spanish royal families sign a treaty at Canterbury for the marriage of 13-year-old Arthur, Prince of Wales (son of King Henry VII and Elizabeth of York) to 14-year-old Princess Catherine of Aragon. Arthur's marriage to Catherine takes place the next year, but Arthur dies five months later; she marries Arthur's younger brother Henry VIII in 1509."
1500-05-08,"The first guide to distilling of liquor is published, Liber de arte distillandi de simplicibus by Hieronymus Brunschwig."
1500-05-29,"Traveling eastward from Brazil, Cabral and his fleet run into a storm off of the coast of Africa near the Cape of Good Hope and lose four of their 13 ships. Navigator Bartolomeu Dias is among the persons killed."
1500-06-01,"Pope Alexander VI issues the papal bull Quamvis ad amplianda, calling on a Roman Catholic crusade against the Ottoman Empire."
1500-06-29,A combined force of troops from the Kingdom of France and from the Republic of Florence lay siege to the city of Pisa.
1500-06-30,"Sultan Abu Sa'id Qansuh of Egypt is overthrown and sent into exile. Al-Ashraf Abu al-Nasir Janbalat is crowned as the new Mamluk sultan, but reigns for less than six months."
1500-07-14,The Muscovites defeat the Lithuanians and the Poles in the Battle of Vedrosha.
1500-07-24,Ottoman–Venetian War: The Turkish fleet of Kemal Reis defeats the Venetians in the Second Battle of Lepanto.
1500-08-09,"In the Venetian Republic, the Ottoman Empire Turks capture Modon and Coron, the ""two eyes of the Republic""."
1500-08-10,"Diogo Dias discovers an island which he names São Lourenço, since August 10 is the feast day of Saint Lawrence, a Roman Catholic martyr of the 3rd century. The massive island is later known as Madagascar."
1500-08-23,"Francisco de Bobadilla, appointed to replace Admiral Christopher Columbus as Spanish Governor-General of the New World, arrives at Santo Domingo on the island of Hispanola. Bobadilla issues an order directing Christopher and Bartolomeo Columbus to appear before him at Santo Domingo."
1500-09-12,"George the Bearded begins a reign of more than 38 years as Duke of Saxony at the Saxon capital of Emden, after the death of his father, Albert III, who had ruled 36 years. George also becomes George II, Margrave of Meissen."
1500-09-13,"Pedro Cabral's fleet of nine ships arrives in India, more than six months after departing from Portugal, and lands at the port of Calicut, which had been visited two years earlier by Vasco da Gama."
1500-09-15,"Christopher Columbus (Cristobal Colon) is placed under arrest, along with his two brothers, Bartolome and Diego, after appearing before Francisco de Bobadilla, who had replaced him as the Spanish Governor of the New World. (""El 15 de septiemre Bobadilla presenta sus credenciales a Colon... Colon habia ejectuado a varios espanoles cargo de gran peso contra el, asi que al fin Bobadilla resolvio enviarlos presos a Espana para que alla se les juzgase.""— ""On the 15th of September of 1500, Bobadilla presented his credential to Columbus. Columbus had executed several Spaniards charged with great weight against him, so Bobadilla finally decided to send them prisoners to Spain so that they could be tried there."")"
1500-09-23,"Bobadilla hears testimony from 22 witnesses and concludes that the Columbus brothers intended to overthrow him; he has them placed in manacles and chains for deportation to Spain. (""La pesquisa de Bobadilla contra Colon habia comenzado el 23-IX-1500.""— ""Bobadilla's investigation against Colon had begun on 23 September 1500."")"
1500-10-01,"Christopher Columbus and his brothers, arrested and in chains, are deported from Santo Domingo to Spain."
1500-10-22,"Nasir-ud-Din Shah overthrows the government of his father, Ghiyath Shah, ruler of the Malwa Sultanate (located in much of what is now the Indian state of Madhya Pradesh) for the last 31 years. Upon becoming the new Sultan, Nasir has his brother Ala-ud-Din executed, along with Ala-ud-din's children. Ghiyasuddin is poisoned the following February."
1500-11-11,Treaty of Granada: Louis XII of France and Ferdinand II of Aragon agree to divide the Kingdom of Naples between them.
1500-11-16,Emperor Go-Kashiwabara accedes to the throne of Meiō era Japan.
1500-11-25,"Christopher Columbus and his brothers arrive in Spain at Seville ""after one of the longest Atlantic crossings in the Columbian years"" (six weeks) and released on their own recognizance."
1500-12-17,All charges against the Columbus brothers for malfeasance in governing Hispanola are dismissed by King Ferdinand and Queen Isabella.
1500-12-24,"The Siege of the Castle of St. George ends, and the island of Cephalonia is captured by a joint Venetian–Spanish fleet."
1500-12-31,"A group of Māori migrate east from the New Zealand mainland to the Chatham Islands, developing a distinct pacificist culture known as the Moriori (approx. date)."
1500-12-31,"Although other reports exist, it is thought that the last wolf in England is killed this year, making the species extinct in that country. The wolf is thought to have been killed in Allithwaite, in Cumbria. However, reports of wolf sightings and laws concerning wolf bounties exist in rural areas of the north until the 18th century."
1500-12-31,The last incunable is printed in Venice.
1500-12-31,Europe's population is estimated at 56.7 million people. The world's population is estimated to be between 425 million and 540 million.
1500-12-31,"Saxony 's mint at Annaberg begins producing guldengroschens, also known as guldiners."
1501-01-17,"Cesar Borgia returns triumphantly to Rome, from Romagna."
1501-02-01,"The Duchy of Bavaria-Dachau, created in Germany in 1467 after Sigismund, Duke of Bavaria was granted his own state following his resignation from the throne of the Duchy of Bavaria-Munich, reverts to Bavaria-Munich's control upon Sigismund's death."
1501-03-04,"Minkhaung II becomes the sole King of Burma upon the death of his son Thihathura II, with whom he was co-ruler for 15 years. Minkhaung's reign ends five weeks later when he dies on April 7."
1501-03-25,"Portuguese navigator João da Nova discovers Ascension Island. It is definitely sighted and named on May 20, 1503 (Feast of the Ascension) by Afonso de Albuquerque."
1501-04-07,"Shwenankyawshin Narapati begins an almost 26-year reign as King of Burma upon the death of his father, King Minkhaung II."
1501-04-11,The Rebellion in the Alpujarras ends in southern Spain with a treaty of surrender of the last Muslim insurgents in the Alpujarra Mountains in Andalusia on the Mediterranean Sea. The Muslims are given the choice of expulsion or conversion to Christianity.
1501-05-10,"The formal coronation of King Shwenankyawshin of Burma takes place at his capital in Inwa in the Mandalay Region on the 9th waning of Kason, 863 ME."
1501-05-13,The Venetian Republic signs a treaty with the Kingdom of Hungary and Pope Alexander VI for troops to protect Venetian Dalmatia during the Ottoman–Venetian War (1499–1503).
1501-05-15,"Harmonice Musices Odhecaton, the first printed collection of polyphonic music, is published by Ottaviano Petrucci in Venice."
1501-06-09,The semi-independent city of Basel joins the Swiss Confederation as the eleventh canton of Switzerland.
1501-06-17,"Alexander Jagiellon, Grand Duke of Lithuania since 1492, becomes the new King of Poland upon the sudden death of his older brother, Jan I Olbracht."
1501-06-23,"Nicolau Coelho, part of Pedro Cabral's Portuguese expedition to India, returns home with one ship, having left ahead of Cabral."
1501-06-24,"Cesare Borgia 's French troops storm and overtake the fortress at Capua in the Kingdom of Naples, overcoming the defense of Fabrizio Colonna in the occupation of the Spanish Kingdom of Aragon in southern Italy."
1501-07-21,"Portuguese explorer Pedro Álvares Cabral and his surviving crew return to Lisbon at the end of a 15-month expedition to India, with only seven of their original fleet of 13 ships. The cargo from India, however, returns a profit to the Portuguese crown of nine times its investment."
1501-07-25,"The Kingdom of Naples, led by King Federico I, surrenders to Cesare Borgia's French and Aragonese troops."
1501-07-27,Copernicus is formally installed as canon of Frauenberg Cathedral.
1501-08-01,"Hans, King of Denmark, Norway and Sweden is deposed from the Swedish throne after fleeing the country following the victory of Swedish rebels at Örebro during the War of Deposition against King Hans. His wife, Christina of Saxony, is left behind at Stockholm as his regent of Sweden, to command a royal garrison at Tre Kronor (""Three Crowns""), the royal castle. Returning to Denmark, King Hans then organizes Danish troops to attempt to retake Sweden in the Dano-Swedish War (1501–1512)."
1501-08-02,"King Federico of Naples abdicates upon the conquest of the Kingdom of Naples by France, and France's King Louis XII becomes the nominal monarch as Luigi II, re di Napoli. King Louis appoints Louis d'Armagnac, Duke of Nemours as France's Viceroy of Naples."
1501-08-27,"Battle of the Siritsa River: The Livonian Order, supporting the Grand Duchy of Lithuania in the Second Muscovite–Lithuanian War, and commanded by Wolter von Plettenberg, defeats an army of the Grand Duchy of Moscow and Pskov Republic."
1501-09-03,"On complaints from Christopher Columbus, who had been replaced as Viceroy of the New World and arrested in 1500 by Francisco de Bobadilla, Queen Isabella of Spain orders that Bobadilla be recalled from Santo Domingo. Declining to allow Columbus to resume his brutal rule of the New World, the Queen appoints a friend, Nicolás de Ovando, as the new Viceroy. Although Bobadilla receives news of his firing several weeks later, he declines to step aside. Ovando will assemble a fleet of 30 ships and depart Spain on February 13 for Santo Domingo."
1501-09-12,"Maximilian I, Archduke of Austria, issues a decree making firearms safety tests mandatory."
1501-09-18,"Aleksandras Jogailaitis, Grand Duke of Lithuania, issues a decree requiring all Roman Catholic priests in the Duchy to become fluent in the Lithuanian language."
1501-09-27,Queen Isabella orders New World Governor Bobadilla to return the assets confiscated from Christopher Columbus and the two other Columbus brothers.
1501-10-02,"Spanish princess Catherine of Aragon arrives in England and arrives at Plymouth. Although she will later become the wife of King Henry VIII in 1509, she initially arrives to marry Henry's older brother, Prince Arthur."
1501-10-02,"Leonardo Loredan is elected 75th doge of the Venetian Republic, taking office on October 13, and serves for almost 20 years."
1501-10-13,Maximilian of Austria and Louis XII of France sign the Treaty of Trente with Austria recognizing all French conquests in the northern territories of Italy.
1501-10-30,"The Banquet of Chestnuts is purportedly held by Cesare Borgia, in the Papal Palace of Rome (this account is not historical fact, and could be attributed to enemies of Alexander VI)."
1501-11-01,"Amerigo Vespucci discovers and names Baía de Todos os Santos, in Brazil."
1501-11-04,Philip and Joanna of Castile leave for Spain.
1501-11-04,"Second Muscovite–Lithuanian War: At the Battle of Mstislavl, Grand Prince Ivan 's Southern Muscovite army defeats the forces of the Grand Duchy of Lithuania."
1501-11-12,"Sten Sture the Elder is elected Regent of Sweden for the second time, becoming the Scandinavian nation's chief executive after King Hans of Denmark is deposed. No replacement of the monarchy is planned by the rebel Swedish nobles."
1501-11-14,"Arthur, Prince of Wales, marries the Spanish princess Catherine of Aragon."
1501-11-24,A large army of the Grand Duchy of Moscow overruns Livonia during the Second Muscovite–Lithuanian War.
1501-12-12,"Grand Duke Aleksandras Jogailaitis, Grand Duke of Lithuania becomes the King of Poland as Aleksander I Jagiellończyk."
1501-12-22,"(1 Jumada al-Thani 907 AH) Ismail I is enthroned as the first Shah of Iran, choosing Tabriz as his capital, founding the Safavid dynasty in northern Iran. He declares Shi'ism the official and compulsory religion, under penalty of death."
1501-12-31,"First Battle of Cannanore: João da Nova fleet engaged the fleet of the Zamorin in a battle outside of the Cannanore harbor, the first Portuguese naval battle in the Indian Ocean."
1501-12-31,The Swiss cantons of Basel and Schaffhausen join the Old Swiss Confederacy.
1501-12-31,"Gaspar Corte-Real, Portuguese navigator, makes the first documented European landing in North America since c. 1000 A.D."
1501-12-31,"Rodrigo de Bastidas, sailing westward from Venezuela in search of gold, becomes the first European to explore the Isthmus of Panama."
1501-12-31,"Amerigo Vespucci maps the two stars Alpha Centauri and Beta Centauri, as well as the stars of the constellation Crux, which are below the horizon in Europe."
1501-12-31,Martin Luther enters the University of Erfurt.
1501-12-31,Dhaulpur is taken by Sikandar Lodi.
1501-12-31,"Michelangelo returns to his native Florence, to begin work on the statue David."
1501-12-31,"Italic type (cut by Francesco Griffo) is first used by Aldus Manutius at the Aldine Press in Venice, in an edition of Virgil."
1502-01-01,"Portuguese explorers, led by Gonçalo Coelho, sail into Guanabara Bay, Brazil, mistaking it for the mouth of a river, which they name Rio de Janeiro."
1502-01-24,"Commissioners from Scotland and England meet at Richmond Palace in London to finalize an agreement on the marriage between Scotland's King James IV to the daughter of England's King Henry VII, the princess Margaret Tudor, with a dowry of 35,000 Scottish Punnds and an agreement for a ""treaty of perpetual peace"". The marriage will be completed by proxy on January 25, 1503."
1502-02-12,"Isabella I issues an edict outlawing Islam in the Crown of Castile, forcing virtually all her Muslim subjects to convert to Christianity."
1502-02-13,"The new Viceroy of the New World, Nicolás de Ovando, departs Spain with a fleet of 30 ships and orders to replace Viceroy Francisco de Bobadilla at Santo Domingo on the island of Hispaniola, and arrives in April."
1502-03-14,"Christopher Columbus begins preparation for his fourth and final voyage, with a goal of finding a westward passage in the New World to link the Atlantic Ocean to the Indian Ocean."
1502-03-26,The first recorded earthquake in what is now Croatia strikes at Medvednica with a Mercalli scale intensity estimated at VIII. (2000).
1502-04-02,"Arthur, Prince of Wales, the 15-year-old Duke of Cornwall and Earl of Chester, heir to the English throne as eldest son of King Henry VII, dies after a long illness less than five months after marrying Catherine of Aragon. Arthur's 10-year-old brother, Henry, Duke of York, becomes the new heir to the throne and will later succeed his father as King Henry VIII."
1502-04-11,"Dmitry Ivanovich Vnuk, who had been the teenage co-ruler of the Grand Duchy of Moscow since 1498 with his grandfather Ivan III, is arrested along with his mother, Elena of Moldavia on suspicion of conspiracy. Ivan designates his son (and Dmitry's uncle) Vasili Ivanovich as the new heir to the throne of Moscow."
1502-04-14,"The formal coronation of Ivan the Great as Grand Prince of Moscow (encompassing most of the Russian people 's territory) to reflect that he is the nation's sole ruler. Ivan had been co-ruler of Moscow from 1449 to 1462, ruler from 1462 to 1471 and 1490 to 1498, and co-ruler with his eldest son (Ivan the Young, 1471-1490) and his grandson, Dmitry Ivanovich from 1498 onward."
1502-05-03,Portuguese navigator João da Nova discovers the uninhabited island of Saint Helena.
1502-05-09,"Christopher Columbus leaves Cadiz in Spain for his fourth and final trip to the New World, taking with him 147 men on his flagship, Capitana and the companion ships Gallega, Vizcaína, and Santiago de Palos. He explores Central America, and discovers the Isthmus of Panama and the land now occupied by Honduras, and Costa Rica, and possibly the island of St. Lucia as well"
1502-05-26,"Columbus and his men complete the rescue of stranded Portuguese soldiers in Morocco, then depart Asilah for a crossing of the Atlantic in 20 days."
1502-06-15,Columbus and his crew land on the island of Martinique and land at Le Carbet.
1502-06-29,"Columbus and his crew attempt to land at Santo Domingo in order to avoid being caught in a hurricane, despite being ordered not to return to Hispaniola. Nicolás de Ovando, the Spanish Viceroy, refuses to let Columbus sail into harbor and does not believe the warnings of the hurricane, which strikes two days later."
1502-07-01,"A powerful hurricane sweeps through the Caribbean Sea near Puerto Rico and the island of Hispaniola, two days after Christopher Columbus was denied permission to land at Santo Domingo. An estimated 500 people are killed when the winds wreck 20 of the 31 ships brought from Spain by the new Viceroy, Nicolás de Ovando, including Ovando's flagship, El Dorado. Former Viceroy Francisco de Bobadilla and administrator Francisco Roldán are among the people killed. A ship provided by Bobadilla for Columbus to transport the gold owed to him, the Aguja, is one of the 11 to survive the hurricane and accusations are made that Columbus magically invoked the storm as an act of vengeance."
1502-07-28,"At Augsburg, Maximilian I, Germany's King of the Romans signs a treaty with representatives of King Henry VII of England, agreeing not to provide assistance to English rebels."
1502-07-30,"The first encounter between Europeans and the Maya people of Central America takes place when the Columbus brothers anchor at Guanaja, one of the Bay Islands off of the coast of what is now the nation of Honduras. An unfortunate group of Mayan traders happens to arrive at Guanaja at the same time, and its cargo is looted by Bartolomeo Columbus and his crew."
1502-08-14,"Christopher Columbus and his crew land at Puerto Castilla in what is now the mainland of the nation of Honduras, becoming the first Europeans to visit."
1502-09-18,Christopher Columbus lands at Central America at what is now Costa Rica.
1502-09-29,"Anne of Foix-Candale is proclaimed Queen of Hungary upon her marriage to Vladislaus II, King of Hungary and Bohemia, at a ceremony in Székesfehérvár."
1502-10-01,An annular solar eclipse occurs.
1502-10-16,Columbus and his crew arrive at Almirante Bay in Panama.
1502-11-07,Ismail I founds the Safavid dynasty and proclaims himself the Shah of Iran after defeating tribes of the Aq Qoyunlu confederation.
1502-11-19,"The "" Cantino planisphere "", a precise copy for an Italian spy of Portugal's secret Padrão Real map of the New World, is acquired by Alberto Cantino, agent for Ercole I d'Este, Duke of Ferrara, at a cost of 12 golden ducats."
1502-12-26,Cesare Borgia kills Ramiro d'Orco; this incident is referenced in Machiavelli 's The Prince
1502-12-31,Wittenberg University is founded.
1502-12-31,The first African slaves brought to the New World arrive at the island of Hispaniola (modern-day Haiti and Dominican Republic).
1502-12-31,"Bristol merchants return from Newfoundland (first so named this year from a letter) to England, carrying three native people and cod from the Grand Banks."
1502-12-31,"Moctezuma II is elected emperor of the Aztecs, following the death of Ahuitzotl."
1502-12-31,"Meñli I Giray defeats the Golden Horde and sacks their capital, Sarai."
1502-12-31,"Cesare Borgia (son of Pope Alexander VI) occupies Urbino, where he imprisons two potentially treacherous allies, Vitellozzo and Oliveretto; he executes them the next morning."
1502-12-31,"In Germany, Peter Henlein of Nuremberg uses iron parts and coiled springs to build a portable timepiece."
1502-12-31,"In Italy, Asher Lämmlein declares that the Jewish Messiah will arrive in the next 6 months, resulting in the year of penance."
1502-12-31,"The King's School, Macclesfield, England, is founded by Sir John Percyvale."
1502-12-31,Heinrich Cornelius Agrippa receives the degree of magister artium from the University of Cologne.
1502-12-31,"Wilhelm Bombast moves to Villach with his son, Paracelsus."
